Timestamp,Nama (boleh inisial),Usia,Jenis Kelamin,Latar belakang/profesi,"Apakah Anda memiliki latar belakang akademis atau profesional di bidang studi hadis (ilmu hadis, sanad, rijal al-hadith, takhrij, dsb","Seberapa sering Anda menggunakan aplikasi visualisasi data/graph sejenis sebelumnya (network diagram, mind map, dsb",Saya berpikir saya akan sering menggunakan aplikasi ini.,Saya merasa aplikasi ini rumit untuk digunakan tanpa alasan yang jelas.,Saya merasa aplikasi ini mudah digunakan.,Saya merasa membutuhkan bantuan orang yang memiliki kemampuan teknis untuk bisa menggunakan aplikasi ini.,Saya merasa berbagai fitur dalam aplikasi ini terintegrasi (saling terhubung) dengan baik.,Saya merasa ada terlalu banyak ketidakkonsistenan dalam aplikasi ini.,Saya membayangkan kebanyakan orang akan bisa mempelajari aplikasi ini dengan cepat.,Apa yang paling Anda sukai dari aplikasi ini?,Kendala/kesulitan apa yang Anda temui saat menggunakan aplikasi ini?,Saran perbaikan untuk aplikasi ini
21/07/2026 16:13:14,Marchel,20–25,LAKI - LAKI,Mahasiswa /  / Peneliti Ilmu Hadis / Praktisi (Ustaz/Kyai/Pengajar Hadis) / Masyarakat umum / Lainnya,TIDAK,Kadang-kadang,4,3,4,2,4,2,4,Tampilan yang menarik,Terlalu banyak objek yang terkadang membuat tulisan sedikit susah dibaca,"Tidak ada, sudah cukup baik"
21/07/2026 16:15:01,A,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Jarang,3,1,5,1,5,1,5,,,
21/07/2026 16:15:51,Rad,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Jarang,3,3,4,2,3,2,3,-,-,-
21/07/2026 16:17:04,BTA,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Tidak pernah,3,2,4,1,5,2,5,bentuk visualisasi grafik,kurangnya onboarding,menambahkan fase onboarding
21/07/2026 16:22:26,Bayu,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Jarang,3,3,4,2,4,2,3,Kemudahan melihat sanad,tulisannya kecil,warna dibuat lebih enak dipandang
21/07/2026 16:22:56,Hanif,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Jarang,2,1,4,4,4,1,3,Tampilan,-,-
21/07/2026 16:32:49,AL,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Jarang,3,2,4,3,5,2,5,memudahkan,tidak ada,perindah designya
21/07/2026 16:35:11,Muhammad Haiqal,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Jarang,5,1,5,2,5,2,4,"Kemudahan dalam mencari informasi yang dibutuhkan, serta ui yang jelas dan menarik",Susah dalam menggunakan aplikasi ketika dibuka di website melalui handphone ,Semoga untuk user yang menggunakan hp dipermudah lagi dalam mengakses website nya
21/07/2026 16:39:43,Edo,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Jarang,4,2,5,1,4,2,4,Interaktif dan memberi insight baru mengenewai relasi prawi,Penjelasan rumus dan keterangan sedikit menutupi tampilan graph,Penjalasan rumus dan keterangan diberi opsi hide
21/07/2026 16:42:33,Farhan,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Sering,4,2,4,3,4,2,4,"Saya menyukai fitur pencarian nama perawi yang memudahkan menemukan perawi tertentu dengan cepat. Selain itu, visualisasi knowledge graph mempermudah memahami hubungan sanad antarperawi. Fitur klik pada node untuk melihat detail perawi juga sangat membantu karena informasi dapat diakses tanpa harus berpindah halaman. Zoom dan pan membuat eksplorasi graph yang besar menjadi lebih nyaman.","Saat mengganti metrik sentralitas, saya belum langsung memahami perbedaan setiap metrik karena tidak ada penjelasan singkat mengenai fungsinya. Pada graph yang memiliki banyak node, tampilannya menjadi cukup padat sehingga beberapa label sulit dibaca meskipun sudah menggunakan fitur zoom. Selain itu, perpindahan tampilan setelah filter diubah terkadang memerlukan waktu untuk dipahami.","Sebaiknya ditambahkan tooltip atau penjelasan singkat untuk setiap metrik sentralitas agar pengguna memahami arti dan kegunaannya. Akan lebih baik jika tersedia fitur highlight jalur sanad setelah mencari perawi, sehingga hubungan antarperawi lebih mudah diikuti. Penambahan filter berdasarkan kitab atau tingkatan perawi, serta optimasi tampilan agar label tidak saling bertumpuk pada graph yang padat, juga akan meningkatkan kenyamanan penggunaan."
21/07/2026 16:42:43,A,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Tidak pernah,3,3,4,3,5,3,3,aplikasi terstruktur dengan rapi,pada awalnya agak sulit dipahami oleh orang awam,mungkin diberi keterangan secara detail cara menggunakan aplikasi ini
21/07/2026 16:49:27,TJE nightlullabies,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Jarang,4,1,5,2,5,2,5,-,-,-
21/07/2026 16:54:52,AB,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Tidak pernah,2,4,3,4,4,3,1,"animasi, interaktif, hal yang baru menurut saya","belum tahu arti atau maksud dari masing"" sentralitas","diberikan introduction cara penggunaan dan ini web apa baik itu untuk user muslim ataupun non, sehingga mengatahui gambaran besar nya ini untuk visualisasi apa"
21/07/2026 16:59:12,rtd,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Kadang-kadang,1,3,3,3,4,2,4,sangat banyak data,banyak data yang butuh penjelasan/kurang gampang dipahami,metrik sentralitas pake bahasa indo ajah
21/07/2026 17:02:43,Daffa,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Sering,4,2,5,2,4,2,4,Mudah dipahami,Belum ada,Mungkin bisa diperlengkap lagi fiturnya
21/07/2026 17:56:51,AP,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Jarang,5,5,5,3,5,2,5,,,
21/07/2026 18:20:29,Jemal Abyaz Haqqi,20–25,LAKI - LAKI,Mahasiswa,TIDAK,Jarang,3,4,3,4,4,3,3,Aplikasi memiliki tampilan yang sederhana dan mudah dipahami. Visualisasi knowledge graph membantu saya melihat hubungan antarperawi hadis dengan lebih jelas sehingga proses memahami sanad menjadi lebih mudah dan menarik.,"Terkadang saya membutuhkan waktu untuk memahami cara menggunakan fitur knowledge graph. Selain itu, saat jumlah data yang ditampilkan banyak, visualisasi menjadi cukup padat sehingga sulit melihat hubungan antar node secara detail.","Sebaiknya ditambahkan fitur pencarian yang lebih cepat, zoom dan filter pada knowledge graph, serta penjelasan atau panduan penggunaan bagi pengguna baru. Selain itu, optimalisasi performa saat memuat data yang besar akan membuat aplikasi lebih nyaman digunakan."
21/07/2026 18:31:12,Farel,20–25,LAKI - LAKI,Mahasiswa,YA,Tidak pernah,4,1,5,1,4,2,5,UI nya mudah untuk dipahami,Sejauh ini tidak ada,Designya bisa dibikin lebih nuansa ilmu Hadist
